gpt_cwe_loc_s,gpt_cwe_loc_m,gpt_cwe_loc_h,gemini_cwe_loc_s,gemini_cwe_loc_m,gemini_cwe_loc_h,copilot_cwe_loc_s,copilot_cwe_loc_m,copilot_cwe_loc_h,codellama_cwe_loc_s,codellama_cwe_loc_m,codellama_cwe_loc_h
0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0434782608695652,0.0434782608695652,0.0384615384615384,0.0416666666666666,0.0357142857142857,0.0303030303030303,0.0434782608695652,0.0434782608695652,0.037037037037037,0.0625,0.0588235294117647,0.0476190476190476
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.073170731707317,0.0,0.0,0.0,0.0,0.0,0.0689655172413793,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
